comparison,auprc_difference_mean,auprc_difference_sd,min_difference,max_difference
kg_replay_temporal_minus_state,0.002358,0.002297,-0.000363,0.0058
direct_temporal_minus_state,0.017651,0.024731,0.002888,0.061593
